instance,n_vertices,total_ms,ns_per_call,calls_per_sec,gpu_kernel,sm_util_pct,mem_bw_util_pct,achieved_occupancy,l2_hit_rate_pct,note
Abruzzo,250000,13.3225,75.0612,150250000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Basilicata,150000,13.6455,73.2841,146700000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Calabria,380000,16.5703,60.3489,120840000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Campania,500000,14.1236,70.8035,142000000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Emilia-Romagna,900000,25.2594,39.5892,79200000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Friuli-Venezia-Giulia,300000,19.1106,52.3270,104700000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Lazio,1000000,20.4263,48.9565,98000000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Liguria,320000,21.6063,46.2828,92800000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Lombardia,950000,17.9703,55.6475,112100000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Marche,420000,18.6601,53.5904,107520000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Molise,50000,21.7279,46.0238,92050000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Piemonte,600000,18.5021,54.0478,108600000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Puglia,750000,18.7835,53.2383,106500000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Sardegna,470000,18.7309,53.3878,107160000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Sicilia,800000,23.5904,42.3902,84800000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Toscana,700000,25.9042,38.6038,77700000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Trentino-Alto-Adige,100000,20.6262,48.4820,97000000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Umbria,200000,20.0281,49.9298,100000000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Valle-D-Aosta,20000,20.9144,47.8140,95640000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
Veneto,850000,23.9458,41.7610,84150000,batched_cost_kernel,87.3,42.1,0.625,91.2,"T4, sm_75, 256 threads/block"
